registro_id,cedula,funcionario,anio,tipo_presentacion,institucion,cargo,activos_gs,pasivos_gs,patrimonio_neto_gs,ingreso_mensual_gs,ingreso_anual_gs,egreso_mensual_gs,egreso_anual_gs,fuente
REG-100000,1329365,FUNCIONARIO_001,2018,RENOVACION DE CONTRATO,Municipalidad de Asunción,Director/a,"10.450.421,88","0,00","10.450.421,88","7.404.019,76","7.404.019,76","4.505.193,91","3.253.621,83",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100001,2500942,FUNCIONARIO_002,2018,ASUNCION AL CARGO,Municipalidad de Asunción,Chofer,"10.230.670,78","3.188.590,87","7.042.079,91","18.116.820,55","0,00","6.704.423,57","10.608.585,72",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100002,4385659,FUNCIONARIO_003,2022,ASUNCION AL CARGO,Instituto de Previsión Social,Enfermero/a,"5.186.327,71","2.216.252,32","2.970.075,39","6.769.831,95","0,00","2.558.808,17","3.871.579,19",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100003,3055555,FUNCIONARIO_004,2019,ACTUALIZACION,Poder Judicial,Auxiliar jurisdiccional,"61.261.763,32","0,00","61.261.763,32","4.325.185,08","0,00","1.852.742,84",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100004,4613009,FUNCIONARIO_005,2024,ASUNCION AL CARGO,Municipalidad de Asunción,Fiscalizador/a,"1.690.858,73","0,00","1.690.858,73","15.521.937,29","0,00","7.604.073,56","4.094.260,35",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100005,2504384,FUNCIONARIO_006,2022,ASUNCION AL CARGO,Ministerio de Obras Públicas y Comunicaciones,Técnico/a,"29.182.531,09","0,00","29.182.531,09","9.932.453,84","0,00","5.284.687,58",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100006,4521441,FUNCIONARIO_007,2018,ACTUALIZACION,ESSAP,Administrativo/a,"13.363.091,64","0,00","13.363.091,64","4.651.977,53","4.651.977,53","2.875.006,75",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100007,1214020,FUNCIONARIO_008,2020,RENOVACION DE CONTRATO,Ministerio de Salud Pública y Bienestar Social,Chofer,"3.705.335,35","1.118.899,78","2.586.435,57","5.121.548,56","0,00","3.932.510,39","2.647.341,78",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100008,4256415,FUNCIONARIO_009,2022,RENOVACION DE CONTRATO,Municipalidad de Asunción,Administrativo/a,"16.828.736,01","0,00","16.828.736,01","9.221.690,34","0,00","5.751.166,91","2.055.475,95",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100009,3061083,FUNCIONARIO_010,2024,CESE,Gobernación de Central,Administrativo/a,"16.807.720,64","3.667.006,75","13.140.713,89","5.467.186,26","0,00","2.161.520,60",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100010,2503165,FUNCIONARIO_011,2019,ASUNCION AL CARGO,Instituto de Previsión Social,Enfermero/a,"3.826.849,86","712.054,48","3.114.795,38","5.907.097,26","0,00","2.646.451,16",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100011,3215603,FUNCIONARIO_012,2023,ASUNCION AL CARGO,Poder Judicial,Secretario/a,"8.376.476,15","0,00","8.376.476,15","10.491.549,22","0,00","4.658.967,73","3.745.022,51",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100012,4117697,FUNCIONARIO_013,2021,RENOVACION DE CONTRATO,Ministerio de Economía y Finanzas,Analista,"23.287.626,05","4.732.130,71","18.555.495,34","9.092.125,02","0,00","5.565.404,87",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100013,4329462,FUNCIONARIO_014,2019,ACTUALIZACION,Ministerio de Salud Pública y Bienestar Social,Técnico/a,"5.143.200,33","560.539,24","4.582.661,09","2.922.802,88","0,00","1.767.885,36",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100014,3148815,FUNCIONARIO_015,2022,RENOVACION DE CONTRATO,Ministerio de Educación y Ciencias,Técnico/a,"126.178.639,82","609.399,43","125.569.240,39","5.453.373,40","0,00","3.867.423,75",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100015,1887121,FUNCIONARIO_016,2020,OTRO,ESSAP,Administrativo/a,"6.076.321,26","792.462,23","5.283.859,03","2.429.926,81","0,00","1.572.413,48","638.352,56",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100016,1373616,FUNCIONARIO_017,2024,ACTUALIZACION,Universidad Nacional de Asunción,Médico/a,"14.573.484,05","0,00","14.573.484,05","4.937.069,48","0,00","3.813.058,66","1.649.720,49",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100017,3485367,FUNCIONARIO_018,2024,OTRO,Ministerio de Salud Pública y Bienestar Social,Chofer,"5.783.161,95","917.667,05","4.865.494,90","3.277.035,64","3.277.035,64","2.411.103,26","1.762.709,39",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100018,4133837,FUNCIONARIO_019,2018,CESE,Instituto de Previsión Social,Administrativo/a,"15.268.623,38","10.538.967,93","4.729.655,45","5.850.769,94","5.850.769,94","2.490.367,70","350.703,63",Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100019,4545837,FUNCIONARIO_020,2022,ASUNCION AL CARGO,Ministerio de Salud Pública y Bienestar Social,Chofer,"25.483.651,29","0,00","25.483.651,29","3.815.331,77","0,00","1.770.455,18",,Muestra didáctica inspirada en campos visibles de DJBR públicas
REG-100020,3976763,FUNCIONARIO_021,2019,ACTUALIZACION,ESSAP,,"7.543.143,46","1.810.564,72","5.732.578,74","5.053.399,86","5.053.399,86","3.646.493,18",,Muestra didáctica inspirada en campos visibles de DJBR públicas
